item_id	cate_id
0	7
1	11
2	11
3	7
4	3
5	1
6	7
7	7
8	2
9	7
10	3
11	11
12	7
13	4
14	11
15	4
16	3
17	2
18	7
19	8
20	4
21	2
22	4
23	16
24	13
25	3
26	14
27	7
28	7
29	4
30	3
31	7
32	3
33	3
34	3
35	3
36	7
37	11
38	15
39	7
40	2
41	7
42	7
43	13
44	14
45	3
46	3
47	7
48	16
49	3
50	3
51	7
52	7
53	7
54	7
55	4
56	16
57	5
58	0
59	5
60	1
61	7
62	0
63	7
64	14
65	15
66	15
67	5
68	7
69	15
70	17
71	16
72	5
73	5
74	7
75	4
76	16
77	14
78	15
79	15
80	7
81	7
82	7
83	0
84	4
85	15
86	1
87	7
88	13
89	4
90	15
91	13
92	16
93	0
94	15
95	15
96	7
97	0
98	0
99	0
100	7
101	7
102	7
103	7
104	4
105	7
106	7
107	0
108	7
109	13
110	0
111	5
112	1
113	1
114	7
115	16
116	13
117	15
118	7
119	0
120	0
121	5
122	0
123	17
124	16
125	0
126	15
127	1
128	15
129	4
130	0
131	4
132	15
133	14
134	13
135	7
136	15
137	13
138	4
139	7
140	7
141	4
142	7
143	7
144	13
145	7
146	15
147	7
148	4
149	7
150	0
151	0
152	7
153	7
154	0
155	14
156	0
157	0
158	4
159	7
160	0
161	13
162	7
163	5
164	4
165	7
166	0
167	7
168	4
169	7
170	7
171	13
172	7
173	15
174	7
175	4
176	4
177	4
178	4
179	4
180	1
181	0
182	4
183	4
184	4
185	15
186	0
187	0
188	0
189	0
190	4
191	0
192	1
193	1
194	17
195	1
196	0
197	17
198	4
199	17
200	1
201	1
202	10
203	4
204	15
205	1
206	4
207	11
208	0
209	15
210	15
211	0
212	10
213	10
214	0
215	17
216	0
217	14
218	9
219	7
220	4
221	4
222	15
223	7
224	7
225	7
226	5
227	4
228	13
229	15
230	13
231	4
232	13
233	7
234	7
235	7
236	7
237	0
238	13
239	7
240	0
241	2
242	5
243	2
244	5
245	6
246	15
247	4
248	7
249	7
250	7
251	14
252	4
253	15
254	15
255	5
256	7
257	13
258	12
259	15
260	4
261	6
262	6
263	13
264	13
265	7
266	4
267	15
268	10
269	7
270	7
271	13
272	0
273	10
274	4
275	7
276	6
277	14
278	10
279	7
280	7
281	7
282	7
283	7
284	7
285	4
286	13
287	4
288	14
289	7
290	4
291	5
292	12
293	5
294	10
295	7
296	0
297	0
298	4
299	7
300	0
301	10
302	15
303	7
304	15
305	12
306	7
307	15
308	7
309	6
310	7
311	0
312	7
313	15
314	4
315	4
316	5
317	7
318	7
319	13
320	7
321	7
322	14
323	4
324	5
325	10
326	16
327	15
328	7
329	13
330	7
331	3
332	4
333	13
334	4
335	4
336	5
337	7
338	12
339	7
340	15
341	7
342	4
343	4
344	7
345	4
346	7
347	0
348	15
349	0
350	4
351	7
352	4
353	7
354	4
355	7
356	4
357	4
358	7
359	14
360	7
361	4
362	6
363	7
364	14
365	7
366	7
367	7
368	7
369	13
370	13
371	4
372	7
373	4
374	10
375	13
376	7
377	7
378	7
379	4
380	4
381	3
382	4
383	7
384	17
385	0
386	0
387	5
388	1
389	11
390	2
391	4
392	4
393	17
394	17
395	13
396	4
397	17
398	4
399	13
400	13
401	3
402	11
403	11
404	13
405	4
406	0
407	17
408	8
409	13
410	11
411	7
412	13
413	3
414	13
415	7
416	7
417	13
418	4
419	13
420	16
421	11
422	1
423	13
424	4
425	13
426	13
427	4
428	13
429	4
430	0
431	10
432	14
433	0
434	7
435	7
436	7
437	13
438	7
439	7
440	3
441	5
442	7
443	7
444	7
445	7
446	7
